index	heading	content
1	Uki's blog: rambling of a hunter-gatherer caught in the hi-tech bubble	TBD
2	Template: Uki's blog: rambling of a hunter-gatherer caught in the hi-tech bubble	TBD
3	The type of publishing done for this blog.	TBD
4	The list of administrators' emails for the blog.	TBD
5	Whether this blog contains adult content	TBD
6	Blog's Google Analytics account number	TBD
7	The number of the archive index date format	TBD
8	How frequently this blog should be archived	TBD
9	The list of authors' emails who have permission to publish.	TBD
10	Whether to provide an archive page for each post	TBD
11	Who can comment	TBD
12	Whether to require commenters to complete a Captcha	TBD
13	List of e-mail addresses to send notifications of new comments to	TBD
14	The type of feed to provide for blog comments	TBD
15	Blog comment form location	TBD
16	Blog comment message	TBD
17	Whether to enable comment moderation	TBD
18	Number of days after which new comments are subject to moderation	TBD
19	Email address to send notifications of new comments needing moderation to	TBD
20	Whether to show profile images in comments	TBD
21	Whether to show comments	TBD
22	Comment time stamp format number	TBD
23	Whether to convert line breaks into &lt;br /&gt; tags in post editor	TBD
24	The custom ads.txt content of the blog served to ads search engines.	TBD
25	Whether this blog serves custom ads.txt content to ads search engines.	TBD
26	The content served when the requested post or page is not found.	TBD
27	The custom robots.txt content of the blog served to search engines.	TBD
28	Whether this blog serves custom robots.txt content to search engines.	TBD
29	The number of the date header format	TBD
30	Default comment mode for posts	TBD
31	A description of the blog	TBD
32	Whether to show a link for users to e-mail posts	TBD
33	URL to redirect post feed requests to	TBD
34	Whether float alignment is enabled for the blog	TBD
35	Language for this blog	TBD
36	Whether Mail-to-Blogger posts should be immediately published	TBD
37	Secret from which the Mail-to-Blogger email address is derived	TBD
38	"Maximum number of things to show on the main page"""	TBD
39	Unit of things to show on the main page	TBD
40	The meta description of the blog served to search engines.	TBD
41	Whether this blog is served with meta descriptions.	TBD
42	The name of the blog	TBD
43	The type of feed to provide for per-post comments	TBD
44	The type of feed to provide for blog posts	TBD
45	Footer to append to the end of each entry in the post feed	TBD
46	The template for blog posts	TBD
47	Whether Quick Editing is enabled	TBD
48	The access type for the readers of the blog.	TBD
49	The list of emails for users who have permission to read the blog.	TBD
50	Whether this blog should be indexed by search engines	TBD
51	Comma separated list of emails to send new blog posts to	TBD
52	Whether to show a related link box in the post composer	TBD
53	The BlogSpot subdomain under which to publish your blog	TBD
54	The number of the time stamp format	TBD
55	The time zone for this blog	TBD
56	Whether to show images in the Lightbox when clicked	TBD
57		TBD
58	Shubin	TBD
59	Mitochondria	TBD
60	The Joy of x	TBD
61	a book of my poems	TBD
62	How much DNA do we share?	TBD
63	Japanese wood plane (kana)	TBD
64	Detroit real estate	TBD
65	Family Banking	TBD
66	Big Pockets Real Estate podcast	TBD
67	Wholesale Trust for Real Estate	TBD
68	Michigan LLC	TBD
69	LLC: Delaware vs. Nevada vs. Wyoming	TBD
70	Asset Protection with LLC	TBD
71	Land Trust	TBD
72	LLC for real estate investment	TBD
73	The last poet	TBD
74	Almond milk, heavy whipping cream and coconut oil shake	TBD
75	Is water retention caused by allergens? (Mushrooms)	TBD
76	Fortified Coffee and Tea in no-sugar, keto diet	TBD
77	My Grand Plan	TBD
78	50 cal Muzzle Loader Rifle	TBD
79	Can I hunt rabbits on public land in Illinois with a rifle?	TBD
80	"My new eBook: ""Genomics - easy as Pi"" - DIY parallel cluster computers in big data genetic research"	TBD
81	Pumpernickel bread	TBD
82	Flat out	TBD
83	Headlights stay on on Astro while parked	TBD
84	Organic Garden	TBD
85	Spartan Race prep run	TBD
86	2015 Spartan Race: training day 1	TBD
87	Toxic woods	TBD
88	8000 grit conditioning whetstone	TBD
89	Wooden sawhorses	TBD
90	Keyed Scarf Join	TBD
91	Project Planning	TBD
92	Kennedy Meadow Campground, PCT	TBD
93	Public private thoughts	TBD
94	Wild	TBD
95	One year later	TBD
96	Elections 2014	TBD
97	Lever Action Rifle Calibers	TBD
98	eFiling rejected by IRS	TBD
99	Adding your 2 cents.. matters!	TBD
100	Citibank Horror -Target and other fiascos	TBD
101	Munich	TBD
102	Slavic people	TBD
103	Little things that make us happy	TBD
104	Little things that drive us	TBD
105	Maya 3D: Texture Bump Mapping	TBD
106	Maya 3D: grass	TBD
107	Maya 3D porcelain toilet day 1	TBD
108	Maya 3D: Rotation Pivot Point Change 	TBD
109	Ecological Awarness	TBD
110	Hand-loading 16 gauge shotgun	TBD
111	Maya 3D: log cabin: staircase	TBD
112	Maya 3D: log cabin	TBD
113	Gnomon Maya 3D class - log cabin - wireframe	TBD
114	Anthropologist or Survivalist?	TBD
115	I started Gnomon School of Visual Effects	TBD
116	Mosin-Nagant: from tragical to tactical: 7.62x54R bush rifle	TBD
117		TBD
118	Maya: Paint Skin Weights Tool	TBD
119	Blender as a professional 3D tool?	TBD
120	Maya: moving your point of view side-to-side on Mac with MagicMouse with no MMB	TBD
121	Maya: Sculpt Geometry Tool: relaxing the mesh	TBD
122	Maya: docking Outliner window	TBD
123	Polar bear	TBD
124	resolutions and aspect ratio of video formats and screens	TBD
125	Maya 2012: rigging character for animation tutorials	TBD
126	Learning Unity 3D	TBD
127	3D Game Engines review	TBD
128	1999 Harley Davidson Sportster XL1200s (sport) specifications	TBD
129	Testing writing from my Galaxy 10 tablet	TBD
130	How to get 100hp from a Sportster	TBD
131		TBD
132	Hawthorn	TBD
133		TBD
134	Milkweed	TBD
135	Mullein	TBD
136	Magnolia	TBD
137	Licorice	TBD
138	Makasin, or Lady Slipper	TBD
139	Juniper	TBD
140	Horsetail (Equisetum seconde)	TBD
141		TBD
142		TBD
143		TBD
144	Anthocyanin	TBD
145	Chokecherry (Prunus virginiana)	TBD
146		TBD
147		TBD
148	Pine needle tea for good health	TBD
149	Squirrel Hunting Season in Illinois	TBD
150	Hildegarde bow	TBD
151	Elm, best self-bow wood	TBD
152	Oregon Bowhunters 3D Shoot	TBD
153	Colorado Bowhunters Jamboree	TBD
154	Baiting	TBD
155		TBD
156	Black Bear Bow Hunting	TBD
157	protecting &amp; waterproofing traditional arrows	TBD
158	Traditional Bow Selection Guide	TBD
159		TBD
160	Lili first sailing camp	TBD
161	Illinois wild pigs	TBD
162	Deer overgrazing check point	TBD
163	Archery deer hunt in Fort Hill, Ohio	TBD
164	Bow Hunting Adena Mansion &amp; Gardens, Ohio	TBD
165		TBD
166		TBD
167		TBD
168		TBD
169	Archery deer &amp; turkey hunting in Illinois	TBD
170	Daily practice at 15 yards	TBD
171	Arrow Weight and Penetration Test	TBD
172	150,000 years	TBD
173	What do we need?	TBD
174	Debt	TBD
175	Young People Turn Into Farming	TBD
176	Origin of syphilis in New World	TBD
177	Coolest Cafe Sportster	TBD
178	HOG rally in Jordan	TBD
179	LSR 2-in-1 exhaust for HD Sportster	TBD
180	I believe in heroes, I think we all ought to.	TBD
181	Haplogroup R1b1b2a1a1d1	TBD
182	Haplogroup H6a1	TBD
183	Yes, green potatoes are poisonous.	TBD
184	Natural boost of hormones after menopause.	TBD
185	Bright light, good mood, sunglesses and beautiful tan	TBD
